Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Total_Sales,Month,Month_Name,Day_Name
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,17-02-2019,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,190.08,2,February,Sunday
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,02-03-2019,17:36:00,Ewallet,265.89,4.761904762,13.2945,6,292.479,3,March,Saturday
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,22-03-2019,19:20:00,Credit card,420.72,4.761904762,21.036,8.5,462.792,3,March,Friday
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,08-02-2019,15:31:00,Cash,33.52,4.761904762,1.676,6.7,36.872,2,February,Friday
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,10-03-2019,12:17:00,Credit card,175.34,4.761904762,8.767,7.7,192.874,3,March,Sunday
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,25-01-2019,19:48:00,Cash,441.8,4.761904762,22.09,9.6,485.98,1,January,Friday
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,15-03-2019,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,246.411,3,March,Friday
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,25-02-2019,19:39:00,Credit card,470.65,4.761904762,23.5325,4.8,517.715,2,February,Monday
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,28-01-2019,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,772.893,1,January,Monday
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,10-01-2019,14:49:00,Cash,670.24,4.761904762,33.512,5.1,737.264,1,January,Thursday
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,15-03-2019,10:12:00,Credit card,193.16,4.761904762,9.658,5.1,212.476,3,March,Friday
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,06-02-2019,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,437.448,2,February,Wednesday
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,07-01-2019,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,74.932,1,January,Monday
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,10-03-2019,19:15:00,Ewallet,313.1,4.761904762,15.655,7,344.41,3,March,Sunday
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,15-01-2019,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,602.712,1,January,Tuesday
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,23-03-2019,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,483.296,3,March,Saturday
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,03-03-2019,13:01:00,Cash,240.96,4.761904762,12.048,7.7,265.056,3,March,Sunday
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,17-01-2019,18:45:00,Ewallet,86.72,4.761904762,4.336,7.9,95.392,1,January,Thursday
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,02-02-2019,10:11:00,Cash,112.22,4.761904762,5.611,6.3,123.442,2,February,Saturday
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,08-02-2019,13:03:00,Cash,414.72,4.761904762,20.736,5.6,456.192,2,February,Friday
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,04-03-2019,20:39:00,Cash,789.6,4.761904762,39.48,7.6,868.56,3,March,Monday
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,16-03-2019,19:47:00,Cash,30.74,4.761904762,1.537,7.2,33.814,3,March,Saturday
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,09-03-2019,18:00:00,Cash,375.84,4.761904762,18.792,9.5,413.424,3,March,Saturday
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,27-02-2019,17:24:00,Credit card,510.21,4.761904762,25.5105,8.4,561.231,2,February,Wednesday
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,06-02-2019,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1,198.099,2,February,Wednesday
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,10-02-2019,12:45:00,Credit card,113.58,4.761904762,5.679,8.1,124.938,2,February,Sunday
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,19-03-2019,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,908.93,3,March,Tuesday
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,03-02-2019,10:19:00,Cash,639.8,4.761904762,31.99,9.5,703.78,2,February,Sunday
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,10-02-2019,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,245.245,2,February,Sunday
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,22-03-2019,14:42:00,Ewallet,71.48,4.761904762,3.574,6.5,78.628,3,March,Friday
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,25-01-2019,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1,16.973,1,January,Friday
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,07-03-2019,11:49:00,Ewallet,32.32,4.761904762,1.616,6.5,35.552,3,March,Thursday
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,28-02-2019,19:01:00,Cash,687.84,4.761904762,34.392,8.2,756.624,2,February,Thursday
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,27-03-2019,11:26:00,Cash,88.68,4.761904762,4.434,5.8,97.548,3,March,Wednesday
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,07-02-2019,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,788.48,2,February,Thursday
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,20-01-2019,15:55:00,Cash,723.5,4.761904762,36.175,5.4,795.85,1,January,Sunday
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,12-03-2019,20:36:00,Cash,183.66,4.761904762,9.183,9.3,202.026,3,March,Tuesday
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,15-02-2019,17:47:00,Credit card,74.22,4.761904762,3.711,10,81.642,2,February,Friday
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,24-02-2019,10:55:00,Ewallet,334.38,4.761904762,16.719,7,367.818,2,February,Sunday
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,03-02-2019,13:40:00,Ewallet,495.63,4.761904762,24.7815,10,545.193,2,February,Sunday
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,06-03-2019,12:27:00,Credit card,158.1,4.761904762,7.905,8.6,173.91,3,March,Wednesday
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,14-02-2019,14:35:00,Cash,302.96,4.761904762,15.148,7.6,333.256,2,February,Thursday
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,13-03-2019,16:40:00,Cash,158.7,4.761904762,7.935,5.8,174.57,3,March,Wednesday
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,10-02-2019,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7,73.634,2,February,Sunday
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,07-01-2019,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9,644.226,1,January,Monday
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,24-01-2019,10:04:00,Cash,787.7,4.761904762,39.385,6.4,866.47,1,January,Thursday
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02-02-2019,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,20.163,2,February,Saturday
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,06-01-2019,12:46:00,Credit card,894.8,4.761904762,44.74,9.6,984.28,1,January,Sunday
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,11-02-2019,16:19:00,Cash,621.2,4.761904762,31.06,5.9,683.32,2,February,Monday
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,05-03-2019,18:17:00,Ewallet,145.56,4.761904762,7.278,4,160.116,3,March,Tuesday
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.773,478.233,09-03-2019,18:21:00,Cash,455.46,4.761904762,22.773,8.7,501.006,3,March,Saturday
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,22-01-2019,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,739.233,1,January,Tuesday
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,13-01-2019,17:04:00,Credit card,416.5,4.761904762,20.825,5.4,458.15,1,January,Sunday
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.068,463.428,09-01-2019,14:20:00,Credit card,441.36,4.761904762,22.068,8.6,485.496,1,January,Wednesday
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,12-01-2019,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7,198.099,1,January,Saturday
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,05-03-2019,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,861.41,3,March,Tuesday
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.095,106.995,22-01-2019,18:56:00,Cash,101.9,4.761904762,5.095,6,112.09,1,January,Tuesday
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.757,624.897,21-01-2019,14:42:00,Credit card,595.14,4.761904762,29.757,5.5,654.654,1,January,Monday
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.502,304.542,26-01-2019,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4,319.044,1,January,Saturday
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.7,161.7,23-01-2019,18:37:00,Ewallet,154,4.761904762,7.7,6.6,169.4,1,January,Wednesday
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,23-02-2019,18:45:00,Credit card,321.44,4.761904762,16.072,8.3,353.584,2,February,Saturday
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.2275,256.7775,09-03-2019,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,269.005,3,March,Saturday
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.071,610.491,05-03-2019,14:31:00,Ewallet,581.42,4.761904762,29.071,4,639.562,3,March,Tuesday
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,25-03-2019,10:23:00,Cash,382.6,4.761904762,19.13,9.9,420.86,3,March,Monday
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.283,362.943,27-03-2019,20:35:00,Credit card,345.66,4.761904762,17.283,7.3,380.226,3,March,Wednesday
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,02-01-2019,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,46.717,1,January,Wednesday
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.097,485.037,27-02-2019,17:55:00,Cash,461.94,4.761904762,23.097,6.1,508.134,2,February,Wednesday
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,23-01-2019,10:25:00,Cash,189.52,4.761904762,9.476,7.1,208.472,1,January,Wednesday
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,26-01-2019,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2,493.46,1,January,Saturday
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,10-01-2019,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1,169.246,1,January,Thursday
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.962,608.202,12-03-2019,12:09:00,Credit card,579.24,4.761904762,28.962,8.6,637.164,3,March,Tuesday
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,4.4875,94.2375,06-02-2019,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6,98.725,2,February,Wednesday
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.858,102.018,08-03-2019,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2,106.876,3,March,Friday
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.935,922.635,29-03-2019,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1,966.57,3,March,Friday
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,3.735,78.435,09-02-2019,13:11:00,Cash,74.7,4.761904762,3.735,4.1,82.17,2,February,Saturday
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,23-03-2019,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,174.075,3,March,Saturday
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,05-03-2019,18:14:00,Cash,496.2,4.761904762,24.81,7.4,545.82,3,March,Tuesday
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,26-03-2019,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,53.581,3,March,Tuesday
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,01-03-2019,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,777.645,3,March,Friday
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,01-02-2019,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,228.393,2,February,Friday
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.478,367.038,28-03-2019,16:44:00,Cash,349.56,4.761904762,17.478,9.9,384.516,3,March,Thursday
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,19-03-2019,18:19:00,Cash,212.45,4.761904762,10.6225,8,233.695,3,March,Tuesday
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,12-01-2019,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,975.37,1,January,Saturday
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.214,172.494,05-01-2019,20:54:00,Credit card,164.28,4.761904762,8.214,7.9,180.708,1,January,Saturday
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.639,391.419,22-03-2019,20:19:00,Cash,372.78,4.761904762,18.639,7.4,410.058,3,March,Friday
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.291,321.111,24-03-2019,10:43:00,Cash,305.82,4.761904762,15.291,4.2,336.402,3,March,Sunday
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.985,860.685,03-03-2019,14:30:00,Cash,819.7,4.761904762,40.985,9.2,901.67,3,March,Sunday
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,05-02-2019,11:32:00,Ewallet,32.98,4.761904762,1.649,4.6,36.278,2,February,Tuesday
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,05-02-2019,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8,324.093,2,February,Tuesday
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.494,535.374,15-02-2019,12:44:00,Cash,509.88,4.761904762,25.494,8.4,560.868,2,February,Friday
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,19-01-2019,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,574.893,1,January,Saturday
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,01-02-2019,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5,799.821,2,February,Friday
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,4.053,85.113,02-03-2019,13:01:00,Credit card,81.06,4.761904762,4.053,7.1,89.166,3,March,Saturday
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.485,115.185,05-03-2019,12:29:00,Ewallet,109.7,4.761904762,5.485,5.3,120.67,3,March,Tuesday
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.568,53.928,16-01-2019,15:26:00,Ewallet,51.36,4.761904762,2.568,5.2,56.496,1,January,Wednesday
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,02-02-2019,20:48:00,Ewallet,109.6,4.761904762,5.48,6,120.56,2,February,Saturday
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.344,112.224,20-01-2019,20:38:00,Ewallet,106.88,4.761904762,5.344,4.1,117.568,1,January,Sunday
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.824,836.304,14-02-2019,17:03:00,Credit card,796.48,4.761904762,39.824,5.2,876.128,2,February,Thursday
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.992,419.832,12-01-2019,12:02:00,Credit card,399.84,4.761904762,19.992,6.5,439.824,1,January,Saturday
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.982,944.622,09-03-2019,17:26:00,Credit card,899.64,4.761904762,44.982,4.2,989.604,3,March,Saturday
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,13-03-2019,19:52:00,Credit card,511.28,4.761904762,25.564,4.6,562.408,3,March,Wednesday
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,09-03-2019,14:57:00,Ewallet,451.76,4.761904762,22.588,7.3,496.936,3,March,Saturday
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,10-03-2019,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5,721.413,3,March,Sunday
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,27-01-2019,13:26:00,Cash,161.25,4.761904762,8.0625,9,177.375,1,January,Sunday
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,08-01-2019,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9,314.127,1,January,Tuesday
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,08-01-2019,15:57:00,Ewallet,548.32,4.761904762,27.416,8.5,603.152,1,January,Tuesday
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.626,853.146,08-02-2019,11:15:00,Ewallet,812.52,4.761904762,40.626,7.2,893.772,2,February,Friday
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,25-01-2019,13:18:00,Cash,277.34,4.761904762,13.867,7.5,305.074,1,January,Friday
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,06-03-2019,20:34:00,Cash,552.78,4.761904762,27.639,8.3,608.058,3,March,Wednesday
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,10-02-2019,18:36:00,Cash,139.36,4.761904762,6.968,7.4,153.296,2,February,Sunday
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.235,550.935,17-02-2019,14:40:00,Credit card,524.7,4.761904762,26.235,8.8,577.17,2,February,Sunday
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,08-03-2019,16:43:00,Ewallet,487.8,4.761904762,24.39,5.3,536.58,3,March,Friday
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,13.533,284.193,18-02-2019,19:39:00,Cash,270.66,4.761904762,13.533,6.2,297.726,2,February,Monday
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,18-01-2019,20:59:00,Credit card,131.55,4.761904762,6.5775,8.8,144.705,1,January,Friday
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,18-02-2019,15:39:00,Cash,206.52,4.761904762,10.326,9.8,227.172,2,February,Monday
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,25.955,545.055,16-02-2019,12:21:00,Cash,519.1,4.761904762,25.955,8.2,571.01,2,February,Saturday
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8,29,609,16-03-2019,19:25:00,Ewallet,580,4.761904762,29,9.2,638,3,March,Saturday
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,23-01-2019,13:00:00,Credit card,898,4.761904762,44.9,5.4,987.8,1,January,Wednesday
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,25-01-2019,13:48:00,Cash,905,4.761904762,45.25,8.1,995.5,1,January,Friday
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,05-02-2019,19:57:00,Cash,686,4.761904762,34.3,9.1,754.6,2,February,Tuesday
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,22-02-2019,10:36:00,Credit card,30.41,4.761904762,1.5205,8.4,33.451,2,February,Friday
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,21-01-2019,16:37:00,Ewallet,467.7,4.761904762,23.385,8,514.47,1,January,Monday
